MOTU,Match_28S,OrderMatch,Class,Order,Family,Genus,Species_28S
OTU_346,OTU89,1,Demospongiae,Chondrillida,,,Verongimorpha sp. 1
OTU_132,OTU49,2,Demospongiae,Dendroceratida,Darwinellidae,Aplysilla,Aplysilla rosea
OTU_49,OTU56,3,Demospongiae,Dendroceratida,Darwinellidae,Chelonaplysilla,Chelonaplysilla sp. 1
OTU_354,OTU32,4,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona sp. 4
OTU_445,OTU27,5,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona sp. 1
OTU_722,OTU28,6,Demospongiae,Haplosclerida,Chalinidae,,Haliclona sp. 2
OTU_591,OTU109,7,Demospongiae,Poecilosclerida,Coelosphaeridae,,Lissodendoryx sp. 2
OTU_306,OTU65,8,Demospongiae,Poecilosclerida,Tedanidae,,Tedania cf. klausi
OTU_195,OTU78,9,Demospongiae,Suberitida,Halichondridae,Halichondria,Halichondria sp. 1
OTU_111,OTU74,10,Demospongiae,Suberitida,Halichondridae,Hymeniacidon,Hymeniacidon sp. 2
OTU_161,OTU73,11,Demospongiae,Suberitida,Halichondridae,Hymeniacidon,Hymeniacidon chloris
OTU_2,OTU68,12,Demospongiae,Suberitida,Suberitidae,Protosuberites,Protosuberites sp. 1
OTU_45,OTU69,13,Demospongiae,Suberitida,Suberitidae,Protosuberites,Protosuberites sp. 2
OTU_514,OTU70,14,Demospongiae,Suberitida,Suberitidae,Protosuberites,Protosuberites sp. 3
OTU_223,OTU80,15,Demospongiae,Suberitida,Suberitidae,Terpios,Terpios sp. 1
OTU_506,OTU51,16,Demospongiae,Tethyida,Tethyidae,Tethya,Tethya sp. 2
OTU_524,OTU52,17,Demospongiae,Tethyida,Tethyidae,,Tethya sp. 3
OTU_907,OTU93,20,Demospongiae,Tethyida,,,Tethyidae sp. 1
OTU_217,OTU84,21,Homoscleromorpha,Homosclerophorida,Oscarellidae,Oscarella,Oscarella sp. 3
OTU_88,OTU104,23,Homoscleromorpha,Homosclerophorida,Oscarellidae,,Oscarella sp. 6
OTU_213,OTU87,24,Homosclerophorida,Homosclerophorida,Plakinidae,Plakina,Plakina sp. 1
OTU_6,OTU88,25,Homosclerophorida,Homosclerophorida,Plakinidae,Plakortis,Plakortis sp. 1
