OTU,OrderMatch,COI_Match,Class,Order,Family,Genus,28S_Species
OTU89,1,OTU_346,Demospongiae,Chondrillida,,,Verongimorpha sp. 1
OTU49,2,OTU_132,Demospongiae,Dendroceratida,Darwinellidae,Aplysilla,Aplysilla rosea
OTU56,3,OTU_49,Demospongiae,Dendroceratida,Darwinellidae,Chelonaplysilla,Chelonaplysilla sp. 1
OTU32,4,OTU_354,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona sp. 4
OTU27,5,OTU_445,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona sp. 1
OTU28,6,OTU_722,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona sp. 2
OTU109,7,OTU_591,Demospongiae,Poecilosclerida,Coelosphaeridae,Lissodendoryx,Lissodendoryx sp. 2
OTU65,8,OTU_306,Demospongiae,Poecilosclerida,Tedanidae,,Tedania cf. klausi
OTU78,9,OTU_195,Demospongiae,Suberitida,Halichondriidae,Halichondria,Halichondria sp. 1
OTU74,10,OTU_111,Demospongiae,Suberitida,Halichondriidae,Hymeniacidon,Hymeniacidon sp. 2
OTU73,11,OTU_161,Demospongiae,Suberitida,Halichondriidae,Hymeniacidon,Hymeniacidon chloris
OTU68,12,OTU_2,Demospongiae,Suberitida,Suberitidae,Protosuberites,Protosuberites sp. 1
OTU69,13,OTU_45,Demospongiae,Suberitida,Suberitidae,Protosuberites,Protosuberites sp. 2
OTU70,14,OTU_514,Demospongiae,Suberitida,Suberitidae,Protosuberites,Protosuberites sp. 3
OTU80,15,OTU_223,Demospongiae,Suberitida,Suberitidae,Terpios,Terpios sp. 1
OTU51,16,OTU_506,Demospongiae,Tethyida,Tethyidae,Tethya,Tethya sp. 2
OTU52,17,OTU_524,Demospongiae,Tethyida,Tethyidae,Tethya,Tethya sp. 3
OTU93,20,OTU_907,Demospongiae,Tethyida,Tethyidae,,Tethyidae sp. 1
OTU84,21,OTU_217,Homoscleromorpha,Homosclerophorida,Oscarellidae,Oscarella,Oscarella sp. 3
OTU104,23,OTU_88,Homoscleromorpha,Homosclerophorida,Oscarellidae,Oscarella,Oscarella sp. 6
OTU87,24,OTU_213,Homoscleromorpha,Homosclerophorida,Plakinidae,Plakina,Plakina sp. 1
OTU88,25,OTU_6,Homoscleromorpha,Homosclerophorida,Plakinidae,Plakortis,Plakortis sp. 1
